"Personas","Edad","Tiempo","Monto","Dia","Soporte","Encuesta"
"BLNQOJ",82,2.23,22300,"Sabado","No","Normal"
"BMPGZK",57,2.83,28300,"Sabado","No","Buena"
"XCUAPR",16,2.64,26400,"Martes","No","Normal"
"LZQUAP",52,1.66,16600,"Domingo","No","Muy Buena"
"TPQIBO",25,2.06,20600,"Sabado","No","Muy Buena"
"BPZFHC",9,1.05,10500,"Martes","No","Buena"
"GIONDQ",59,2.33,23300,"Domingo","No","Normal"
"AFELFN",76,1.47,14700,"Viernes","No","Mala"
"NUAIBG",43,3,30000,"Domingo","Si","Buena"
"WVIBAT",92,1.07,10700,"Jueves","No","Muy Buena"
"JZDRJH",24,2.88,28800,"Sabado","Si","Normal"
"JHGULX",28,1.16,11600,"Jueves","No","Normal"
"KWKMBS",64,1.47,14700,"Miercoles","No","Muy Buena"
"JKPSHZ",32,1.46,14600,"Miercoles","No","Mala"
"AONFTL",79,1.34,13400,"Jueves","No","Buena"
"QJUZWL",42,0.55,5500,"Sabado","No","Muy Buena"
"PAJGYM",13,1.73,17300,"Domingo","No","Mala"
"WSCKSR",27,1.43,14300,"Lunes","Si","Buena"
"CZXBVC",75,3.01,30100,"Domingo","No","Normal"
"LQEBVX",72,2.37,23700,"Miercoles","No","Muy Buena"
"DCDXHV",43,2.47,24700,"Jueves","No","Mala"
"WWRMXG",5,1.36,13600,"Lunes","No","Buena"
"VBTXCB",39,1.79,17900,"Viernes","No","Buena"
"RRZQID",10,0.88,8800,"Domingo","No","Buena"
"EUMYSE",59,2.37,23700,"Domingo","No","Muy mala"
"WEALLE",92,1.58,15800,"Martes","No","Muy Buena"
"GQOOFC",66,4,40000,"Sabado","No","Buena"
"YEIYCU",87,0.67,6700,"Jueves","No","Normal"
"GWSQMC",46,2.65,26500,"Miercoles","No","Normal"
"LMEBAK",22,1.62,16200,"Jueves","No","Normal"
"UEAQQS",26,1.26,12600,"Sabado","No","Buena"
"WJIUCL",18,2.08,20800,"Domingo","No","Muy Buena"
"VEHALE",84,3.24,32400,"Domingo","No","Normal"
"HHEQPP",12,3.57,35700,"Domingo","No","Muy mala"
"YRHWAV",61,1.17,11700,"Domingo","No","Buena"
"HPRUHR",8,2.6,26000,"Martes","No","Normal"
"RJVNLV",49,2.47,24700,"Domingo","No","Muy Buena"
"MNKOGQ",30,3.29,32900,"Martes","No","Buena"
"WSYOIX",19,1.76,17600,"Sabado","No","Buena"
"YKDTSV",13,3.08,30800,"Domingo","No","Buena"
"JNFLYA",16,3.2,32000,"Sabado","No","Mala"
"GMPKJL",8,3.47,34700,"Sabado","No","Muy mala"
"NEDHQZ",7,2.54,25400,"Miercoles","No","Buena"
"RBBCFT",24,2.2,22000,"Miercoles","No","Buena"
"SNOWUO",50,2.77,27700,"Domingo","No","Normal"
"LSIKKZ",37,2.12,21200,"Miercoles","No","Normal"
"FJADPR",32,2.27,22700,"Lunes","No","Muy Buena"
"AKVRSN",57,1.11,11100,"Sabado","No","Buena"
"KYVYNL",32,3.76,37600,"Viernes","No","Normal"
"SXNPJL",59,3.31,33100,"Domingo","No","Mala"
"ALDGZI",32,0.95,9500,"Domingo","No","Buena"
"PZJWIU",50,3.86,38600,"Jueves","No","Buena"
"BLQXLX",48,0.92,9200,"Domingo","No","Muy mala"
"GPEQQC",31,2.9,29000,"Sabado","No","Mala"
"ETCSKA",88,0.9,9000,"Martes","No","Buena"
"HNGCRN",72,1.53,15300,"Martes","No","Normal"
"AZCWRK",34,1.07,10700,"Sabado","No","Mala"
"YUHIDX",17,0.88,8800,"Jueves","No","Buena"
"TJAJIT",55,3.72,37200,"Sabado","No","Buena"
"DTLJLQ",14,1.24,12400,"Miercoles","No","Buena"
"SBWUHQ",60,2.04,20400,"Sabado","No","Normal"
"PBPCNK",68,3.07,30700,"Lunes","No","Muy mala"
"HIOEDU",38,3.31,33100,"Jueves","No","Normal"
"OJTIBV",45,3.8,38000,"Sabado","No","Muy mala"
"LVDLRW",69,2.64,26400,"Martes","No","Muy Buena"
"YXHCFJ",58,2.45,24500,"Domingo","No","Normal"
"WZJNSP",6,3.28,32800,"Sabado","No","Buena"
"TWRMFA",15,3.17,31700,"Jueves","No","Muy mala"
"GVFFDA",14,1.53,15300,"Domingo","No","Mala"
"SESKSU",84,2.56,25600,"Miercoles","No","Normal"
"NVOZJM",92,3.17,31700,"Sabado","No","Buena"
"MMTKVA",91,1.46,14600,"Martes","No","Buena"
"EHGOPL",8,3.21,32100,"Sabado","No","Normal"
"LQIZSO",24,1.91,19100,"Sabado","No","Normal"
"IWOPLG",54,1.14,11400,"Miercoles","No","Normal"
"PHYGPV",50,1.34,13400,"Domingo","No","Normal"
"ZZRFFB",57,2.81,28100,"Lunes","No","Muy Buena"
"QGGLPG",11,3.41,34100,"Miercoles","No","Mala"
"LQHEQJ",17,1.55,15500,"Miercoles","No","Normal"
"ELYAJE",19,1.08,10800,"Lunes","Si","Buena"
"ABSRXU",17,1.38,13800,"Sabado","No","Buena"
"VBYLCK",61,0.97,9700,"Sabado","No","Muy Buena"
"MAKFDG",86,0.59,5900,"Domingo","No","Mala"
"ZPUJYM",37,2.87,28700,"Domingo","No","Buena"
"HQFFVK",90,2.77,27700,"Sabado","No","Muy mala"
"LHRKYC",35,1.1,11000,"Domingo","No","Mala"
"SUCMEO",89,3.84,38400,"Sabado","No","Buena"
"LRSIAB",75,2.69,26900,"Domingo","No","Muy mala"
"KFFDRA",90,3.16,31600,"Martes","No","Normal"
"OVTONX",85,3.61,36100,"Sabado","No","Buena"
"WEBLBH",43,1.35,13500,"Martes","No","Buena"
"LQJMXC",57,3.67,36700,"Domingo","No","Normal"
"HQWXPV",16,1.48,14800,"Viernes","No","Mala"
"GSEMHR",18,2.04,20400,"Sabado","Si","Normal"
"NFRKDR",6,3.21,32100,"Domingo","No","Normal"
"TAUUHP",34,2.54,25400,"Domingo","No","Mala"
"MUWVFO",73,3.73,37300,"Miercoles","No","Buena"
"YWHEZB",5,1.99,19900,"Jueves","No","Muy Buena"
"IUFMVE",74,3.63,36300,"Jueves","No","Muy mala"
"SFXKIB",14,2.99,29900,"Miercoles","No","Normal"
"JYMXTF",48,3.65,36500,"Lunes","No","Buena"
"MCQVTH",5,3.4,34000,"Domingo","No","Mala"
"LWOSYH",16,1.09,10900,"Sabado","No","Mala"
"AZBIDI",70,3.15,31500,"Domingo","No","Buena"
"VTEHSA",39,1.88,18800,"Sabado","No","Mala"
"IZATAP",70,3.01,30100,"Sabado","No","Mala"
"AGDXWO",42,2.35,23500,"Sabado","No","Muy Buena"
"LCNDBH",16,2.58,25800,"Miercoles","No","Mala"
"MYBUYG",60,0.89,8900,"Domingo","Si","Mala"
"VDBWTU",81,3.23,32300,"Sabado","No","Buena"
"KJEOZS",24,1.61,16100,"Sabado","No","Buena"
"YCDBWK",60,3.67,36700,"Lunes","No","Mala"
"DPNMAV",91,2.09,20900,"Miercoles","Si","Buena"
"SLYBYT",7,3.61,36100,"Domingo","No","Buena"
"CGITNM",65,2.6,26000,"Lunes","No","Mala"
"UEXDJM",18,0.66,6600,"Viernes","No","Mala"
"FYIXAR",61,2.36,23600,"Martes","No","Buena"
"SJCAYX",91,3.32,33200,"Martes","No","Normal"
"WLWUCL",63,3.69,36900,"Domingo","No","Mala"
"KMFSYX",16,2.08,20800,"Sabado","No","Muy Buena"
"ZBZFDL",40,3.33,33300,"Viernes","No","Muy mala"
"SDVKYH",9,1.12,11200,"Domingo","No","Buena"
"XEEGLG",31,3.84,38400,"Domingo","No","Normal"
"CUCWPE",21,1.99,19900,"Miercoles","No","Normal"
"XGTWON",30,0.58,5800,"Viernes","No","Buena"
"BUIVVJ",85,1.41,14100,"Viernes","Si","Buena"
"NOWEOB",61,2.45,24500,"Sabado","No","Normal"
"EJISCY",22,1.94,19400,"Jueves","No","Buena"
"OMIDEE",90,1.25,12500,"Domingo","No","Buena"
"MCMWWW",26,2.02,20200,"Viernes","No","Buena"
"CNDEDN",43,3.95,39500,"Lunes","Si","Muy mala"
"EBXDUC",6,1.61,16100,"Viernes","No","Muy Buena"
"CDRZPK",83,3.61,36100,"Martes","No","Mala"
"LQRTBQ",74,2.72,27200,"Domingo","No","Buena"
"BPVICT",70,2.82,28200,"Sabado","No","Normal"
"KTPIFO",14,1.94,19400,"Sabado","No","Normal"
"SKAXEE",82,3.06,30600,"Miercoles","No","Normal"
"MCICPC",40,2.39,23900,"Domingo","No","Normal"
"CSBVIF",46,3.16,31600,"Domingo","No","Normal"
"IMVCSL",74,2.18,21800,"Domingo","No","Normal"
"YBAMXI",47,2.03,20300,"Sabado","No","Mala"
"DYHDHK",75,2.6,26000,"Domingo","No","Buena"
"THYNNS",86,2.15,21500,"Jueves","No","Buena"
"PLWOCR",86,1.68,16800,"Viernes","No","Normal"
"GSXGQL",60,3.41,34100,"Sabado","No","Muy Buena"
"ONVNBS",28,1.67,16700,"Domingo","No","Normal"
"VESAVP",62,2.19,21900,"Domingo","No","Normal"
"SZSNVR",37,1.39,13900,"Martes","No","Mala"
"ATEVOD",67,2.22,22200,"Domingo","No","Muy Buena"
"ALKEAW",48,2.85,28500,"Sabado","No","Mala"
"NXIVET",73,2.14,21400,"Martes","No","Buena"
"FLOCNG",33,3.67,36700,"Domingo","No","Muy Buena"
"TNMUNW",24,2.17,21700,"Jueves","No","Mala"
"CBGJVH",75,2.45,24500,"Domingo","No","Normal"
"IHWPSF",19,2.42,24200,"Viernes","No","Normal"
"UCIQEG",21,3.28,32800,"Sabado","No","Buena"
"BYSRQW",61,3.09,30900,"Domingo","Si","Normal"
"JNEMET",10,2.94,29400,"Martes","No","Muy Buena"
"TXCHCK",67,2.76,27600,"Viernes","Si","Muy mala"
"MUFFCL",32,0.93,9300,"Sabado","No","Normal"
"CFPTNP",18,3.69,36900,"Domingo","No","Buena"
"SLUMDO",91,2.09,20900,"Martes","No","Muy Buena"
"IJZOPK",41,1.02,10200,"Martes","No","Mala"
"IZWTFG",8,2.02,20200,"Viernes","No","Normal"
"PMHBHC",68,0.6,6000,"Sabado","No","Mala"
"QMDCQS",88,1.3,13000,"Viernes","No","Muy mala"
"WYXREY",28,1.67,16700,"Sabado","No","Buena"
"EJGMPB",59,2.06,20600,"Sabado","No","Mala"
"YQWNMA",17,2.38,23800,"Sabado","No","Normal"
"HEHSEL",77,2.5,25000,"Viernes","Si","Muy mala"
"PZQNQN",75,1.92,19200,"Martes","No","Mala"
"FWVOTG",86,1.78,17800,"Sabado","Si","Normal"
"SLBQTY",10,3.08,30800,"Sabado","No","Normal"
"GEXYMT",33,2.28,22800,"Sabado","Si","Muy Buena"
"OHAZJV",85,3.56,35600,"Miercoles","No","Mala"
"NZLWEM",76,3.71,37100,"Lunes","Si","Normal"
"MHBSIT",85,3.44,34400,"Sabado","No","Normal"
"KKKTVH",73,2.21,22100,"Lunes","No","Mala"
"DCHUFJ",74,3.43,34300,"Domingo","No","Buena"
"ZEZKCC",83,3.18,31800,"Viernes","No","Normal"
"OVHJNZ",41,3.74,37400,"Domingo","No","Buena"
"MEXOEW",92,0.65,6500,"Martes","No","Mala"
"NHZDHH",58,2.23,22300,"Lunes","No","Muy Buena"
"UOAZSI",31,0.99,9900,"Martes","Si","Normal"
"KSMZQL",41,3.3,33000,"Viernes","Si","Normal"
"BFNMZL",90,1.58,15800,"Martes","No","Normal"
"ECPTFP",26,2.7,27000,"Domingo","No","Normal"
"UPXRIA",12,2.32,23200,"Viernes","No","Normal"
"GWOSBJ",82,0.55,5500,"Domingo","Si","Normal"
"WDYPRU",17,1.49,14900,"Domingo","No","Mala"
"UVGMBG",66,0.88,8800,"Jueves","No","Buena"
"KGTSWJ",22,3.4,34000,"Sabado","No","Muy Buena"
"CATBIZ",75,1.15,11500,"Domingo","No","Muy mala"
"RSBJPD",71,1.71,17100,"Sabado","No","Muy mala"
"JJBCXS",33,0.75,7500,"Domingo","Si","Muy Buena"
"GFKAGL",60,0.54,5400,"Sabado","No","Muy Buena"
"JCAZIC",38,1.36,13600,"Domingo","No","Normal"
"IXQDYW",16,0.89,8900,"Domingo","No","Buena"
"KQKFNI",83,3.84,38400,"Viernes","Si","Muy mala"
"UFELYC",36,2.78,27800,"Domingo","No","Muy Buena"
"APKMJV",79,1.81,18100,"Viernes","No","Buena"
"UOKHNG",41,2.92,29200,"Sabado","No","Normal"
"RJHYGX",45,2.13,21300,"Domingo","No","Normal"
"PSRVJM",37,2.59,25900,"Martes","No","Normal"
"QBWMVE",86,3.46,34600,"Viernes","No","Buena"
"DCUKKC",89,2.95,29500,"Martes","No","Normal"
"EGFSHW",84,1.5,15000,"Domingo","No","Muy Buena"
"TBENIT",21,3.65,36500,"Martes","No","Buena"
"AEWSXO",59,3.58,35800,"Martes","No","Normal"
"XWESZU",80,3.34,33400,"Viernes","No","Buena"
"QALXEZ",44,0.98,9800,"Domingo","No","Normal"
"AONPHH",12,1.42,14200,"Martes","Si","Normal"
"YMFIWB",91,2.66,26600,"Jueves","No","Mala"
"BRDXAN",59,1.56,15600,"Viernes","No","Mala"
"BQZDMF",77,2.97,29700,"Sabado","No","Buena"
"ERMKZG",27,2.53,25300,"Jueves","No","Mala"
"KCAQOZ",56,3.56,35600,"Jueves","No","Mala"
"BXYNHU",63,2.65,26500,"Viernes","No","Buena"
"LYQZPZ",48,3.48,34800,"Miercoles","No","Normal"
"JGVWQM",14,3.78,37800,"Sabado","No","Mala"
"JPQDDC",81,1.04,10400,"Sabado","No","Normal"
"KREVFD",66,0.93,9300,"Sabado","Si","Normal"
"MYMDSF",10,2.21,22100,"Jueves","No","Normal"
"IZIZBG",47,2.79,27900,"Martes","No","Mala"
"GVSPQA",88,0.67,6700,"Viernes","Si","Buena"
"NMRQWG",83,0.95,9500,"Domingo","Si","Buena"
"NIBRSM",19,0.71,7100,"Sabado","No","Normal"
"JKINXM",37,1.91,19100,"Viernes","Si","Normal"
"NUVESZ",56,2.97,29700,"Sabado","No","Buena"
"BVXMUV",30,3.03,30300,"Lunes","No","Buena"
"GAPGLI",42,1.26,12600,"Sabado","No","Muy Buena"
"NZBVWQ",80,3.85,38500,"Sabado","No","Buena"
"GOPKIX",69,0.8,8000,"Lunes","No","Mala"
"HPMBFV",18,0.8,8000,"Domingo","Si","Normal"
"CEHSNQ",47,0.92,9200,"Domingo","No","Normal"
"KZQPGE",90,0.9,9000,"Lunes","No","Mala"
"BYRHYR",52,1.9,19000,"Viernes","No","Normal"
"NHQJSB",28,2.9,29000,"Sabado","No","Buena"
"WLJHCB",17,2.2,22000,"Domingo","No","Buena"
"WRLZOE",6,1.75,17500,"Jueves","No","Normal"
"KNYKYN",58,3.92,39200,"Miercoles","No","Mala"
"IHKXTR",6,2.95,29500,"Martes","No","Mala"
"DYOALF",21,2.87,28700,"Domingo","No","Buena"
"DLLEEL",37,3.88,38800,"Jueves","No","Normal"
"KLJNZW",70,2.49,24900,"Martes","No","Buena"
"NOGYTQ",11,3.15,31500,"Martes","No","Normal"
"JGDMYB",5,0.57,5700,"Martes","No","Muy mala"
"WCCBYV",34,1.64,16400,"Jueves","No","Muy Buena"
"MIHUQJ",85,1.44,14400,"Sabado","No","Normal"
"CPILJQ",56,3.23,32300,"Domingo","No","Normal"
"USFYTR",35,2.65,26500,"Miercoles","No","Normal"
"LBGCBR",11,1.22,12200,"Miercoles","No","Normal"
"HBOQUV",82,1.68,16800,"Jueves","No","Mala"
"OEQQCD",41,2.3,23000,"Viernes","No","Muy mala"
"LFFTUA",78,2.12,21200,"Domingo","No","Mala"
"WLHRGQ",79,1.23,12300,"Miercoles","No","Mala"
"ZLPEQQ",23,0.51,5100,"Martes","No","Muy mala"
"BIPWEV",32,2.66,26600,"Domingo","No","Normal"
"QHLCAQ",60,1.1,11000,"Jueves","No","Buena"
"AVJVAE",66,2.96,29600,"Miercoles","No","Muy Buena"
"DXCRPR",68,2.77,27700,"Jueves","No","Muy Buena"
"AEEUFX",64,3.18,31800,"Martes","No","Muy mala"
"WZCVBV",45,2.27,22700,"Domingo","No","Normal"
"HUMKAE",18,3.57,35700,"Miercoles","No","Muy Buena"
"BGNTNU",64,1.13,11300,"Miercoles","No","Normal"
"FDWYHX",50,2.61,26100,"Lunes","No","Mala"
"XJRDIF",8,3.73,37300,"Viernes","No","Muy mala"
"WHCNKH",71,3.4,34000,"Miercoles","No","Muy mala"
"YZKUVL",81,3.06,30600,"Sabado","Si","Buena"
"BADBYK",7,0.56,5600,"Sabado","No","Normal"
"XSIXIA",80,1.85,18500,"Sabado","No","Muy Buena"
"JYNAXD",27,2.8,28000,"Domingo","No","Normal"
"HSABNE",70,1.15,11500,"Sabado","No","Muy Buena"
"RCOMAE",26,2.25,22500,"Sabado","No","Mala"
"GWJCFE",25,0.65,6500,"Viernes","No","Muy mala"
"UQXDYP",80,1.43,14300,"Miercoles","No","Normal"
"TULFXQ",9,2.03,20300,"Domingo","No","Muy Buena"
"JMKPCX",30,2.44,24400,"Martes","No","Mala"
"CWINGV",84,1.24,12400,"Domingo","No","Mala"
"XSGKXL",46,1.77,17700,"Domingo","No","Muy Buena"
"WMENFN",71,0.67,6700,"Viernes","No","Normal"
"ARFGBM",31,1.82,18200,"Miercoles","No","Mala"
"URPMJR",91,1.24,12400,"Sabado","Si","Muy Buena"
"FCJCAY",38,3.72,37200,"Domingo","No","Normal"
"JSPMRA",65,1.47,14700,"Domingo","No","Normal"
"ZBBSHV",6,2.6,26000,"Sabado","No","Buena"
"ZLOLRG",73,2.77,27700,"Sabado","No","Buena"
"BHUZCV",43,1.8,18000,"Jueves","No","Normal"
"TIFYEL",49,3.14,31400,"Sabado","No","Buena"
"CYANQV",35,2.57,25700,"Domingo","No","Buena"
"FBKHFO",34,2.11,21100,"Jueves","Si","Muy mala"
"HXDCET",37,3.35,33500,"Sabado","No","Mala"
"FVOXME",78,3.13,31300,"Sabado","No","Muy Buena"
"CCZQTK",50,3.39,33900,"Sabado","No","Muy Buena"
"JOGBVB",37,1.31,13100,"Domingo","Si","Muy Buena"
"ODGHSI",49,3.89,38900,"Lunes","Si","Muy mala"
"IUIOBY",46,3.3,33000,"Jueves","No","Normal"
"FUITTX",22,1.94,19400,"Lunes","No","Buena"
"GMQUYJ",56,3.07,30700,"Sabado","No","Buena"
"APKXDS",67,1.29,12900,"Domingo","No","Mala"
"CGWZRU",78,1.68,16800,"Sabado","No","Mala"
"GPCAXM",68,3.19,31900,"Viernes","No","Mala"
"DXKYXR",79,1.38,13800,"Viernes","Si","Mala"
"WKQLNM",68,1.93,19300,"Sabado","Si","Mala"
"CZIPIB",10,1.84,18400,"Viernes","Si","Mala"
"ATXTLN",9,0.86,8600,"Miercoles","No","Buena"
"HYEUND",90,1.97,19700,"Miercoles","No","Normal"
"YMKWKI",23,0.92,9200,"Sabado","No","Muy Buena"
"TKJDGN",28,3.45,34500,"Miercoles","No","Muy Buena"
"HRZBOI",51,1.03,10300,"Sabado","No","Mala"
"NVMXKX",34,0.57,5700,"Sabado","No","Mala"
"HZZYIM",6,1.33,13300,"Domingo","No","Normal"
"PTACDK",86,2.92,29200,"Sabado","No","Normal"
"UNITJR",57,3.87,38700,"Martes","No","Normal"
"UUCPKM",10,3.59,35900,"Lunes","No","Mala"
"PFHBBK",90,2.02,20200,"Sabado","No","Mala"
"CRFAAZ",6,1.03,10300,"Viernes","No","Mala"
"NBAWCA",12,1.65,16500,"Viernes","No","Mala"
"XWNRXK",30,2.16,21600,"Domingo","No","Muy mala"
"HBBXBZ",70,1.4,14000,"Lunes","No","Muy Buena"
"QNBIQG",9,1.77,17700,"Martes","Si","Normal"
"PCDQJX",92,3.43,34300,"Sabado","No","Muy mala"
"RCTFZH",63,2.68,26800,"Sabado","No","Muy Buena"
"GYWZVP",5,2.98,29800,"Jueves","No","Mala"
"YLJHJY",68,3.71,37100,"Domingo","Si","Muy mala"
"HMKTFJ",54,2.88,28800,"Martes","No","Buena"
"PYSCWD",34,0.92,9200,"Jueves","No","Mala"
"XNBYXP",75,1.89,18900,"Sabado","No","Buena"
"LKQETB",36,1.03,10300,"Jueves","No","Normal"
"ISJLGR",30,3.15,31500,"Sabado","No","Normal"
"JPIZFB",91,1.6,16000,"Jueves","No","Mala"
"CLFZJW",65,3.17,31700,"Sabado","Si","Normal"
"LJEHWW",16,0.99,9900,"Domingo","No","Mala"
"NAMDRT",22,2.37,23700,"Lunes","Si","Normal"
"OWKYFC",82,3.49,34900,"Domingo","No","Mala"
"AALKXU",68,1.6,16000,"Domingo","No","Muy Buena"
"RAUWYL",25,1.61,16100,"Viernes","No","Normal"
"FPVLRE",76,2.18,21800,"Viernes","No","Normal"
"SOENWT",68,3.01,30100,"Lunes","No","Normal"
"OTUOCK",46,3.52,35200,"Sabado","No","Normal"
"VUCLOJ",6,0.7,7000,"Lunes","No","Muy Buena"
"ATCOJI",59,1.04,10400,"Viernes","No","Mala"
"VCDFPS",89,1.14,11400,"Martes","No","Normal"
"LZEVNP",23,3.18,31800,"Sabado","No","Normal"
"OILTZW",89,2.34,23400,"Sabado","No","Normal"
"COPPWH",38,1.36,13600,"Domingo","No","Muy Buena"
"REIRDY",16,3.17,31700,"Martes","No","Mala"
"OTCMDT",67,2.93,29300,"Domingo","No","Muy Buena"
"OAMTCD",6,1.61,16100,"Domingo","No","Buena"
"NXVOJE",16,0.98,9800,"Miercoles","No","Buena"
"DSQUPQ",65,3.48,34800,"Lunes","No","Muy Buena"
"MVFXFZ",30,1.32,13200,"Lunes","No","Buena"
"IXBSEL",74,1.34,13400,"Miercoles","No","Muy Buena"
"ECEZSR",61,0.51,5100,"Lunes","No","Buena"
"ZHKMGW",14,1.66,16600,"Sabado","No","Normal"
"KZUKHG",65,1.43,14300,"Domingo","Si","Muy Buena"
"QLHNCA",19,0.66,6600,"Jueves","No","Normal"
"XRRJLI",42,0.61,6100,"Domingo","No","Mala"
"VDLDVR",7,3.52,35200,"Sabado","No","Muy Buena"
"DPYYAV",29,3.69,36900,"Domingo","No","Mala"
"FETXMP",33,1.69,16900,"Martes","No","Normal"
"XIAGGF",86,1.04,10400,"Domingo","No","Muy mala"
"EKIXXM",89,2.54,25400,"Viernes","Si","Normal"
"WXGLMK",61,1.85,18500,"Domingo","No","Normal"
"PZHPCR",14,3.73,37300,"Jueves","No","Buena"
"QGXJNL",10,1.22,12200,"Domingo","No","Normal"
"OKKQRA",61,1.52,15200,"Viernes","No","Normal"
"WJSHPH",58,0.86,8600,"Domingo","No","Buena"
"WFMBKU",25,3.12,31200,"Domingo","No","Muy mala"
"WFQNCR",52,1.57,15700,"Domingo","No","Normal"
"HWMJPI",31,3.56,35600,"Jueves","Si","Muy Buena"
"RGPEFY",82,1.55,15500,"Miercoles","No","Muy Buena"
"AIVIVE",29,2.88,28800,"Jueves","Si","Normal"
"LRRJFG",31,0.56,5600,"Miercoles","No","Buena"
"WQQIAP",13,1.47,14700,"Lunes","Si","Muy mala"
"KQQOVP",90,0.52,5200,"Viernes","No","Buena"
"EZRRGR",52,3.34,33400,"Domingo","No","Muy Buena"
"YSVVDV",59,3.15,31500,"Viernes","No","Buena"
"BIMDWC",65,3.07,30700,"Sabado","No","Normal"
"SVYEDO",40,1.38,13800,"Sabado","No","Muy Buena"
"CBVJVN",46,2.13,21300,"Martes","No","Normal"
"EMHSLT",46,1.28,12800,"Sabado","No","Mala"
"PMNXHF",17,1.65,16500,"Domingo","No","Mala"
"QMYEPU",56,1.48,14800,"Sabado","No","Normal"
"CJLEDI",29,3.14,31400,"Martes","No","Normal"
"KCAXLU",14,3.15,31500,"Domingo","No","Muy Buena"
"VUJPUL",65,2.47,24700,"Sabado","No","Normal"
"PODJLV",19,1.73,17300,"Sabado","No","Buena"
"UXIQXJ",72,3.14,31400,"Domingo","No","Normal"
"CVPIGG",80,3.43,34300,"Domingo","No","Buena"
"MURRAB",26,1.18,11800,"Miercoles","No","Muy Buena"
"GRLOGS",44,2.16,21600,"Miercoles","No","Mala"
"EGVMUA",69,0.95,9500,"Sabado","Si","Mala"
"IQPDLT",78,0.51,5100,"Sabado","No","Normal"
"KKCSVB",71,3.11,31100,"Viernes","No","Mala"
"BDYSVQ",15,3.37,33700,"Sabado","No","Normal"
"DEBKOB",44,2.44,24400,"Sabado","No","Mala"
"QVMESC",82,3.14,31400,"Miercoles","No","Buena"
"XWSEFE",17,1.47,14700,"Domingo","No","Muy mala"
"CGHSMK",38,1.78,17800,"Viernes","No","Mala"
"XTBRIH",45,0.89,8900,"Lunes","No","Mala"
"FAPZKJ",83,2.18,21800,"Jueves","No","Muy mala"
"TNOBVL",20,0.54,5400,"Sabado","No","Muy Buena"
"DWMBTE",34,3.9,39000,"Sabado","No","Normal"
"FAAAGI",26,2.6,26000,"Viernes","No","Buena"
"HLFBNJ",48,2.08,20800,"Viernes","No","Buena"
"PHAUBW",66,2.36,23600,"Viernes","No","Mala"
"ZWWHPQ",39,0.99,9900,"Martes","No","Muy mala"
"IWQJKH",10,0.77,7700,"Jueves","No","Buena"
"ORZDFE",20,1.65,16500,"Sabado","No","Mala"
"UFZEGH",81,1.54,15400,"Sabado","No","Muy Buena"
"XGROGM",72,2.95,29500,"Lunes","No","Buena"
