"Región","Tipo.punto.monitoreo","Sector","Periodo","Semana","Producto","Mínimo","Máximo"
7,"Feria libre","Talca",2013,34,"Plátano",300,350
7,"Feria libre","Talca",2013,34,"Zanahoria",50,55
7,"Feria libre","Curicó",2013,34,"Zanahoria",55,60
7,"Feria libre","Talca",2013,34,"Zanahoria",40,45
7,"Feria libre","Curicó",2013,34,"Zanahoria",50,55
7,"Feria libre","Curicó",2013,35,"Ajo",180,200
7,"Feria libre","Talca",2013,35,"Brócoli",600,700
7,"Feria libre","Curicó",2013,35,"Brócoli",600,700
7,"Feria libre","Talca",2013,35,"Brócoli",500,500
7,"Feria libre","Talca",2013,35,"Cebolla",250,250
7,"Feria libre","Curicó",2013,35,"Cebolla",250,250
7,"Feria libre","Curicó",2013,35,"Kiwi",400,500
7,"Feria libre","Talca",2013,35,"Kiwi",350,400
7,"Feria libre","Talca",2013,35,"Limón",300,350
7,"Feria libre","Curicó",2013,35,"Limón",400,500
7,"Feria libre","Talca",2013,35,"Limón",200,250
7,"Feria libre","Curicó",2013,35,"Plátano",350,400
7,"Feria libre","Talca",2013,35,"Plátano",400,450
7,"Feria libre","Talca",2013,35,"Zanahoria",50,55
7,"Feria libre","Curicó",2013,35,"Zanahoria",50,55
7,"Feria libre","Talca",2013,36,"Ajo",100,150
7,"Feria libre","Curicó",2013,36,"Ajo",100,150
7,"Feria libre","Talca",2013,36,"Brócoli",500,550
7,"Feria libre","Curicó",2013,36,"Brócoli",500,700
7,"Feria libre","Talca",2013,36,"Cebolla",200,250
7,"Feria libre","Curicó",2013,36,"Cebolla",200,250
7,"Feria libre","Talca",2013,36,"Cebolla",150,180
7,"Feria libre","Curicó",2013,36,"Kiwi",350,400
7,"Feria libre","Talca",2013,36,"Kiwi",400,500
7,"Feria libre","Talca",2013,36,"Kiwi",300,350
7,"Feria libre","Talca",2013,36,"Limón",300,350
7,"Feria libre","Curicó",2013,36,"Limón",300,350
7,"Feria libre","Talca",2013,36,"Limón",200,200
7,"Feria libre","Talca",2013,36,"Plátano",350,400
7,"Feria libre","Curicó",2013,36,"Plátano",400,450
7,"Feria libre","Talca",2013,36,"Plátano",300,300
7,"Feria libre","Talca",2013,36,"Zanahoria",50,55
7,"Feria libre","Curicó",2013,36,"Zanahoria",58,58
7,"Feria libre","Talca",2013,37,"Brócoli",600,600
7,"Feria libre","Curicó",2013,37,"Brócoli",600,600
7,"Feria libre","Talca",2013,37,"Brócoli",300,350
7,"Feria libre","Talca",2013,37,"Cebolla",250,300
7,"Feria libre","Curicó",2013,37,"Cebolla",250,330
7,"Feria libre","Curicó",2013,37,"Cebolla",180,200
7,"Feria libre","Talca",2013,37,"Cebolla",200,220
7,"Feria libre","Talca",2013,37,"Kiwi",500,600
7,"Feria libre","Talca",2013,37,"Kiwi",350,400
7,"Feria libre","Talca",2013,37,"Limón",300,350
7,"Feria libre","Curicó",2013,37,"Limón",350,400
7,"Feria libre","Talca",2013,37,"Limón",250,250
7,"Feria libre","Talca",2013,37,"Plátano",400,400
7,"Feria libre","Curicó",2013,37,"Plátano",350,500
7,"Feria libre","Talca",2013,37,"Plátano",300,350
7,"Feria libre","Talca",2013,37,"Zanahoria",58,66
7,"Feria libre","Curicó",2013,37,"Zanahoria",58,83
7,"Feria libre","Talca",2013,37,"Zanahoria",40,45
7,"Feria libre","Talca",2013,38,"Ajo",100,150
7,"Feria libre","Talca",2013,38,"Brócoli",600,700
7,"Feria libre","Talca",2013,38,"Brócoli",500,500
7,"Feria libre","Talca",2013,38,"Cebolla",300,330
7,"Feria libre","Talca",2013,38,"Cebolla",200,250
7,"Feria libre","Talca",2013,38,"Kiwi",500,600
7,"Feria libre","Talca",2013,38,"Kiwi",350,400
7,"Feria libre","Talca",2013,38,"Limón",350,400
7,"Feria libre","Talca",2013,38,"Limón",250,300
7,"Feria libre","Talca",2013,38,"Plátano",450,450
7,"Feria libre","Talca",2013,38,"Plátano",350,350
7,"Feria libre","Talca",2013,38,"Zanahoria",56,62
7,"Feria libre","Talca",2013,39,"Ajo",100,100
7,"Feria libre","Curicó",2013,39,"Ajo",100,200
7,"Feria libre","Talca",2013,39,"Brócoli",500,500
7,"Feria libre","Curicó",2013,39,"Brócoli",500,500
7,"Feria libre","Curicó",2013,39,"Brócoli",350,400
7,"Feria libre","Talca",2013,39,"Cebolla",210,250
7,"Feria libre","Curicó",2013,39,"Cebolla",200,250
7,"Feria libre","Talca",2013,39,"Cebolla",150,180
7,"Feria libre","Curicó",2013,39,"Cebolla",150,180
7,"Feria libre","Curicó",2013,39,"Kiwi",450,600
7,"Feria libre","Talca",2013,39,"Kiwi",500,600
7,"Feria libre","Talca",2013,39,"Kiwi",350,400
7,"Feria libre","Talca",2013,39,"Limón",300,350
7,"Feria libre","Curicó",2013,39,"Limón",400,500
7,"Feria libre","Curicó",2013,39,"Limón",350,400
7,"Feria libre","Talca",2013,39,"Plátano",400,450
7,"Feria libre","Curicó",2013,39,"Plátano",400,500
7,"Feria libre","Curicó",2013,39,"Plátano",300,350
7,"Feria libre","Talca",2013,39,"Plátano",350,350
7,"Feria libre","Talca",2013,39,"Zanahoria",70,75
7,"Feria libre","Curicó",2013,39,"Zanahoria",70,80
7,"Feria libre","Curicó",2013,39,"Zanahoria",57,57
7,"Supermercado","Talca",2013,27,"Ajo",310,409
7,"Supermercado","Talca",2013,27,"Ajo",296,296
7,"Supermercado","Talca",2013,27,"Brócoli",490,490
7,"Supermercado","Talca",2013,27,"Brócoli",589,589
7,"Supermercado","Talca",2013,27,"Cebolla",110,139
7,"Supermercado","Talca",2013,27,"Kiwi",629,839
7,"Supermercado","Talca",2013,27,"Kiwi",630,630
7,"Supermercado","Talca",2013,27,"Limón",719,839
7,"Supermercado","Talca",2013,27,"Limón",790,790
7,"Supermercado","Talca",2013,27,"Mandarina",1290,1290
7,"Supermercado","Talca",2013,27,"Plátano",590,690
7,"Supermercado","Talca",2013,27,"Plátano",599,599
7,"Supermercado","Talca",2013,27,"Zanahoria",78,78
7,"Supermercado","Talca",2013,28,"Ajo",180,333
7,"Supermercado","Talca",2013,28,"Ajo",199,199
7,"Supermercado","Talca",2013,28,"Brócoli",410,599
7,"Supermercado","Talca",2013,28,"Brócoli",589,589
7,"Supermercado","Curicó",2013,28,"Cebolla",190,190
7,"Supermercado","Talca",2013,28,"Cebolla",165,209
7,"Supermercado","Talca",2013,28,"Cebolla",124,124
7,"Supermercado","Talca",2013,28,"Kiwi",499,849
7,"Supermercado","Curicó",2013,28,"Kiwi",590,590
7,"Supermercado","Talca",2013,28,"Kiwi",380,799
7,"Supermercado","Talca",2013,28,"Limón",490,849
7,"Supermercado","Talca",2013,28,"Limón",500,529
7,"Supermercado","Talca",2013,28,"Mandarina",899,1390
7,"Supermercado","Talca",2013,28,"Plátano",490,749
7,"Supermercado","Curicó",2013,28,"Plátano",690,690
7,"Supermercado","Talca",2013,28,"Plátano",490,490
7,"Supermercado","Curicó",2013,28,"Plátano",490,490
7,"Supermercado","Talca",2013,28,"Zanahoria",76,121
7,"Supermercado","Curicó",2013,28,"Zanahoria",94,94
7,"Supermercado","Talca",2013,30,"Ajo",180,395
7,"Supermercado","Curicó",2013,30,"Ajo",332,359
7,"Supermercado","Talca",2013,30,"Ajo",199,296
7,"Supermercado","Curicó",2013,30,"Ajo",316,316
7,"Supermercado","Talca",2013,30,"Brócoli",410,699
7,"Supermercado","Curicó",2013,30,"Brócoli",599,599
7,"Supermercado","Talca",2013,30,"Cebolla",194,223
7,"Supermercado","Talca",2013,30,"Cebolla",133,133
7,"Supermercado","Curicó",2013,30,"Cebolla",136,136
7,"Supermercado","Talca",2013,30,"Kiwi",380,799
7,"Supermercado","Curicó",2013,30,"Kiwi",590,990
7,"Supermercado","Talca",2013,30,"Kiwi",619,799
7,"Supermercado","Curicó",2013,30,"Limón",490,699
7,"Supermercado","Talca",2013,30,"Limón",490,699
7,"Supermercado","Talca",2013,30,"Limón",490,699
7,"Supermercado","Talca",2013,30,"Plátano",490,850
7,"Supermercado","Curicó",2013,30,"Plátano",690,690
7,"Supermercado","Talca",2013,30,"Plátano",590,590
7,"Supermercado","Talca",2013,30,"Zanahoria",77,103
7,"Supermercado","Curicó",2013,30,"Zanahoria",90,93
7,"Supermercado","Talca",2013,31,"Ajo",100,359
7,"Supermercado","Talca",2013,31,"Ajo",199,290
7,"Supermercado","Talca",2013,31,"Brócoli",410,699
7,"Supermercado","Talca",2013,31,"Cebolla",199,222
7,"Supermercado","Talca",2013,31,"Kiwi",380,1199
7,"Supermercado","Talca",2013,31,"Kiwi",590,590
7,"Supermercado","Talca",2013,31,"Limón",459,650
7,"Supermercado","Talca",2013,31,"Plátano",490,690
7,"Supermercado","Talca",2013,31,"Plátano",590,850
7,"Supermercado","Talca",2013,31,"Zanahoria",57,102
7,"Supermercado","Talca",2013,32,"Ajo",100,333
7,"Supermercado","Talca",2013,32,"Ajo",199,199
7,"Supermercado","Talca",2013,32,"Brócoli",490,749
7,"Supermercado","Talca",2013,32,"Brócoli",410,410
7,"Supermercado","Talca",2013,32,"Cebolla",205,225
7,"Supermercado","Talca",2013,32,"Cebolla",220,220
7,"Supermercado","Talca",2013,32,"Kiwi",590,989
7,"Supermercado","Talca",2013,32,"Limón",479,699
7,"Supermercado","Talca",2013,32,"Limón",490,699
7,"Supermercado","Talca",2013,32,"Plátano",490,749
7,"Supermercado","Talca",2013,32,"Plátano",590,590
7,"Supermercado","Talca",2013,32,"Zanahoria",87,95
7,"Supermercado","Talca",2013,32,"Zanahoria",45,81
7,"Supermercado","Talca",2013,34,"Ajo",180,410
7,"Supermercado","Curicó",2013,34,"Ajo",395,408
7,"Supermercado","Talca",2013,34,"Ajo",158,333
7,"Supermercado","Curicó",2013,34,"Ajo",313,331
7,"Supermercado","Curicó",2013,34,"Brócoli",589,590
7,"Supermercado","Talca",2013,34,"Brócoli",480,749
7,"Supermercado","Talca",2013,34,"Brócoli",490,659
7,"Supermercado","Curicó",2013,34,"Cebolla",276,296
7,"Supermercado","Talca",2013,34,"Cebolla",256,300
7,"Supermercado","Talca",2013,34,"Kiwi",619,1190
7,"Supermercado","Curicó",2013,34,"Kiwi",690,1190
7,"Supermercado","Curicó",2013,34,"Kiwi",699,699
7,"Supermercado","Talca",2013,34,"Kiwi",829,829
7,"Supermercado","Curicó",2013,34,"Limón",519,590
7,"Supermercado","Talca",2013,34,"Limón",450,699
7,"Supermercado","Talca",2013,34,"Limón",450,499
7,"Supermercado","Talca",2013,34,"Plátano",490,600
7,"Supermercado","Curicó",2013,34,"Plátano",679,749
7,"Supermercado","Talca",2013,34,"Plátano",590,590
7,"Supermercado","Talca",2013,34,"Zanahoria",76,111
7,"Supermercado","Curicó",2013,34,"Zanahoria",93,93
7,"Supermercado","Talca",2013,35,"Ajo",180,445
7,"Supermercado","Curicó",2013,35,"Ajo",395,408
7,"Supermercado","Talca",2013,35,"Ajo",199,331
7,"Supermercado","Curicó",2013,35,"Ajo",331,359
7,"Supermercado","Talca",2013,35,"Brócoli",480,749
7,"Supermercado","Curicó",2013,35,"Brócoli",589,590
7,"Supermercado","Talca",2013,35,"Brócoli",599,599
7,"Supermercado","Curicó",2013,35,"Cebolla",299,299
7,"Supermercado","Talca",2013,35,"Cebolla",266,363
7,"Supermercado","Talca",2013,35,"Kiwi",690,998
7,"Supermercado","Curicó",2013,35,"Kiwi",690,1190
7,"Supermercado","Curicó",2013,35,"Kiwi",599,599
7,"Supermercado","Talca",2013,35,"Kiwi",729,729
7,"Supermercado","Talca",2013,35,"Limón",450,599
7,"Supermercado","Curicó",2013,35,"Limón",590,599
7,"Supermercado","Talca",2013,35,"Limón",450,450
7,"Supermercado","Talca",2013,35,"Plátano",490,749
7,"Supermercado","Curicó",2013,35,"Plátano",599,679
7,"Supermercado","Talca",2013,35,"Plátano",490,490
7,"Supermercado","Curicó",2013,35,"Zanahoria",83,83
7,"Supermercado","Talca",2013,35,"Zanahoria",76,111
7,"Supermercado","Curicó",2013,36,"Ajo",313,331
7,"Supermercado","Talca",2013,36,"Ajo",313,395
7,"Supermercado","Curicó",2013,36,"Ajo",296,299
7,"Supermercado","Talca",2013,36,"Brócoli",490,749
7,"Supermercado","Curicó",2013,36,"Brócoli",589,589
7,"Supermercado","Curicó",2013,36,"Brócoli",490,490
7,"Supermercado","Talca",2013,36,"Cebolla",293,299
7,"Supermercado","Talca",2013,36,"Cebolla",175,266
7,"Supermercado","Talca",2013,36,"Kiwi",690,1190
7,"Supermercado","Curicó",2013,36,"Kiwi",690,1190
7,"Supermercado","Talca",2013,36,"Kiwi",729,729
7,"Supermercado","Curicó",2013,36,"Kiwi",729,729
7,"Supermercado","Curicó",2013,36,"Limón",590,590
7,"Supermercado","Talca",2013,36,"Limón",450,699
7,"Supermercado","Talca",2013,36,"Limón",590,590
7,"Supermercado","Curicó",2013,36,"Plátano",490,599
7,"Supermercado","Talca",2013,36,"Plátano",590,749
7,"Supermercado","Talca",2013,36,"Plátano",490,600
7,"Supermercado","Talca",2013,36,"Zanahoria",81,93
7,"Supermercado","Curicó",2013,36,"Zanahoria",93,93
7,"Supermercado","Talca",2013,37,"Ajo",180,395
7,"Supermercado","Curicó",2013,37,"Ajo",349,395
7,"Supermercado","Curicó",2013,37,"Ajo",331,331
7,"Supermercado","Talca",2013,37,"Ajo",333,333
7,"Supermercado","Curicó",2013,37,"Brócoli",589,589
7,"Supermercado","Talca",2013,37,"Brócoli",659,5899
7,"Supermercado","Talca",2013,37,"Cebolla",293,299
7,"Supermercado","Curicó",2013,37,"Cebolla",790,790
7,"Supermercado","Curicó",2013,37,"Kiwi",690,790
7,"Supermercado","Talca",2013,37,"Kiwi",690,1190
7,"Supermercado","Talca",2013,37,"Kiwi",729,729
7,"Supermercado","Talca",2013,37,"Limón",450,699
7,"Supermercado","Curicó",2013,37,"Limón",590,629
7,"Supermercado","Talca",2013,37,"Limón",699,699
7,"Supermercado","Talca",2013,37,"Plátano",490,600
7,"Supermercado","Talca",2013,37,"Plátano",490,490
7,"Supermercado","Talca",2013,37,"Zanahoria",52,93
7,"Supermercado","Curicó",2013,37,"Zanahoria",93,98
7,"Supermercado","Talca",2013,38,"Ajo",310,899
7,"Supermercado","Talca",2013,38,"Brócoli",589,659
7,"Supermercado","Talca",2013,38,"Cebolla",296,296
7,"Supermercado","Talca",2013,38,"Kiwi",690,1190
7,"Supermercado","Talca",2013,38,"Kiwi",729,729
7,"Supermercado","Talca",2013,38,"Limón",490,619
7,"Supermercado","Talca",2013,38,"Plátano",530,590
7,"Supermercado","Talca",2013,38,"Zanahoria",92,111
7,"Supermercado","Talca",2013,39,"Ajo",180,399
7,"Supermercado","Curicó",2013,39,"Ajo",345,345
7,"Supermercado","Talca",2013,39,"Ajo",199,199
7,"Supermercado","Curicó",2013,39,"Ajo",331,331
7,"Supermercado","Curicó",2013,39,"Brócoli",589,589
7,"Supermercado","Talca",2013,39,"Brócoli",659,699
7,"Supermercado","Talca",2013,39,"Brócoli",590,659
7,"Supermercado","Talca",2013,39,"Kiwi",690,1190
7,"Supermercado","Curicó",2013,39,"Kiwi",690,1190
7,"Supermercado","Talca",2013,39,"Kiwi",729,729
7,"Supermercado","Talca",2013,39,"Limón",490,619
7,"Supermercado","Curicó",2013,39,"Limón",490,669
7,"Supermercado","Talca",2013,39,"Plátano",490,539
7,"Supermercado","Curicó",2013,39,"Plátano",530,530
7,"Supermercado","Talca",2013,39,"Plátano",590,590
7,"Supermercado","Talca",2013,39,"Zanahoria",80,94
7,"Supermercado","Curicó",2013,39,"Zanahoria",89,89
7,"Supermercado","Talca",2013,39,"Zanahoria",93,93
8,"Feria libre","San Pedro de la Paz",2013,30,"Ajo",100,100
8,"Feria libre","Concepción",2013,30,"Ajo",100,150
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Ajo",80,150
8,"Feria libre","Concepción",2013,30,"Ajo",75,75
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Ajo",75,100
8,"Feria libre","Concepción",2013,30,"Brócoli",500,800
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Brócoli",600,800
8,"Feria libre","San Pedro de la Paz",2013,30,"Brócoli",700,700
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Brócoli",350,400
8,"Feria libre","Concepción",2013,30,"Brócoli",500,600
8,"Feria libre","San Pedro de la Paz",2013,30,"Brócoli",600,600
8,"Feria libre","San Pedro de la Paz",2013,30,"Cebolla",200,200
8,"Feria libre","Concepción",2013,30,"Cebolla",200,250
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Cebolla",200,330
8,"Feria libre","San Pedro de la Paz",2013,30,"Cebolla",125,130
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Cebolla",125,166
8,"Feria libre","Concepción",2013,30,"Cebolla",125,200
8,"Feria libre","San Pedro de la Paz",2013,30,"Kiwi",300,300
8,"Feria libre","Concepción",2013,30,"Kiwi",250,400
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Kiwi",300,400
8,"Feria libre","San Pedro de la Paz",2013,30,"Kiwi",250,250
8,"Feria libre","Concepción",2013,30,"Kiwi",250,300
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Kiwi",250,300
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Limón",250,300
8,"Feria libre","San Pedro de la Paz",2013,30,"Limón",300,300
8,"Feria libre","Concepción",2013,30,"Limón",200,400
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Limón",250,300
8,"Feria libre","San Pedro de la Paz",2013,30,"Limón",250,300
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Limón",200,200
8,"Feria libre","San Pedro de la Paz",2013,30,"Limón",200,200
8,"Feria libre","Concepción",2013,30,"Limón",200,300
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Mandarina",200,500
8,"Feria libre","San Pedro de la Paz",2013,30,"Mandarina",500,600
8,"Feria libre","Concepción",2013,30,"Mandarina",500,700
8,"Feria libre","San Pedro de la Paz",2013,30,"Plátano",400,500
8,"Feria libre","Concepción",2013,30,"Plátano",400,650
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Plátano",500,600
8,"Feria libre","Concepción",2013,30,"Plátano",300,500
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Plátano",400,450
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Zanahoria",30,50
8,"Feria libre","San Pedro de la Paz",2013,30,"Zanahoria",50,50
8,"Feria libre","Concepción",2013,30,"Zanahoria",50,60
8,"Feria libre","Concepción",2013,30,"Zanahoria",25,25
8,"Feria libre","San Pedro de la Paz",2013,30,"Zanahoria",25,25
8,"Feria libre","Talcahuano-HualpÈn",2013,30,"Zanahoria",35,35
8,"Feria libre","Concepción",2013,31,"Ajo",100,100
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Ajo",100,100
8,"Feria libre","Concepción",2013,31,"Ajo",80,80
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Ajo",80,80
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Brócoli",600,700
8,"Feria libre","Concepción",2013,31,"Brócoli",700,700
8,"Feria libre","Concepción",2013,31,"Brócoli",500,500
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Brócoli",500,500
8,"Feria libre","Concepción",2013,31,"Cebolla",200,200
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Cebolla",180,330
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Cebolla",125,165
8,"Feria libre","Concepción",2013,31,"Cebolla",160,160
8,"Feria libre","Concepción",2013,31,"Kiwi",300,300
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Kiwi",200,400
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Kiwi",300,300
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Limón",200,300
8,"Feria libre","Concepción",2013,31,"Limón",250,300
8,"Feria libre","Concepción",2013,31,"Plátano",400,450
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Plátano",500,600
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Plátano",400,400
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Zanahoria",20,60
8,"Feria libre","Talcahuano-HualpÈn",2013,31,"Zanahoria",40,40
8,"Feria libre","Concepción",2013,33,"Ajo",90,100
8,"Feria libre","Talcahuano-HualpÈn",2013,33,"Ajo",100,150
8,"Feria libre","Talcahuano-HualpÈn",2013,33,"Ajo",71,71
8,"Feria libre","Concepción",2013,33,"Ajo",70,80
8,"Feria libre","Concepción",2013,33,"Brócoli",700,800
8,"Feria libre","Talcahuano-HualpÈn",2013,33,"Brócoli",900,1000
8,"Feria libre","Concepción",2013,33,"Brócoli",500,600
8,"Feria libre","Talcahuano-HualpÈn",2013,33,"Brócoli",800,800
8,"Feria libre","Talcahuano-HualpÈn",2013,33,"Cebolla",166,250
8,"Feria libre","Concepción",2013,33,"Cebolla",200,300
8,"Feria libre","Talcahuano-HualpÈn",2013,33,"Cebolla",125,125
8,"Feria libre","Concepción",2013,33,"Cebolla",160,200
8,"Feria libre","Talcahuano-HualpÈn",2013,33,"Kiwi",300,350
8,"Feria libre","Concepción",2013,33,"Kiwi",350,450
8,"Feria libre","Concepción",2013,33,"Kiwi",300,300
8,"Feria libre","Talcahuano-HualpÈn",2013,33,"Limón",200,250
8,"Feria libre","Concepción",2013,33,"Limón",300,400
8,"Feria libre","Concepción",2013,33,"Limón",180,250
8,"Feria libre","Talcahuano-HualpÈn",2013,33,"Plátano",350,400
8,"Feria libre","Concepción",2013,33,"Plátano",400,500
8,"Feria libre","Concepción",2013,33,"Plátano",350,390
8,"Feria libre","Talcahuano-HualpÈn",2013,33,"Zanahoria",25,25
8,"Feria libre","Concepción",2013,33,"Zanahoria",60,70
8,"Feria libre","Concepción",2013,33,"Zanahoria",50,50
8,"Feria libre","Concepción",2013,34,"Ajo",100,150
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Ajo",100,170
8,"Feria libre","Concepción",2013,34,"Ajo",80,80
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Ajo",75,125
8,"Feria libre","Concepción",2013,34,"Brócoli",600,900
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Brócoli",350,600
8,"Feria libre","Concepción",2013,34,"Brócoli",700,700
8,"Feria libre","Concepción",2013,34,"Cebolla",200,250
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Cebolla",200,350
8,"Feria libre","Concepción",2013,34,"Cebolla",166,166
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Cebolla",140,250
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Kiwi",300,450
8,"Feria libre","Concepción",2013,34,"Kiwi",350,400
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Kiwi",200,350
8,"Feria libre","Concepción",2013,34,"Kiwi",300,300
8,"Feria libre","Concepción",2013,34,"Limón",250,300
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Limón",250,350
8,"Feria libre","Concepción",2013,34,"Limón",200,200
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Limón",200,250
8,"Feria libre","Concepción",2013,34,"Plátano",400,450
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Plátano",350,500
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Plátano",300,350
8,"Feria libre","Concepción",2013,34,"Zanahoria",30,33
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Zanahoria",40,60
8,"Feria libre","Talcahuano-HualpÈn",2013,34,"Zanahoria",20,40
8,"Feria libre","Talcahuano-HualpÈn",2013,35,"Ajo",100,150
8,"Feria libre","Concepción",2013,35,"Ajo",125,150
